id,last_scraped,source,host_id,host_since,host_location,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
632636,9/15/2022,city scrape,1684051,2/1/2012,"Nashville, TN",t,5,7,t,t,"Nashville, Tennessee, United States",District 19,,36.1723,-86.7925,Entire rental unit,Entire home/apt,2,,1.5 baths,1,1,$173.00 ,2,60,1,3,7,60,2.3,59.5,,t,1,9,20,20,9/15/2022,401,54,3,8/9/2012,9/8/2022,4.97,4.98,4.99,4.99,4.98,4.75,4.94,,f,5,5,0,0,3.26
645985,9/15/2022,city scrape,1515903,12/18/2011,"Nashville, TN",f,2,2,t,t,"Nashville, Tennessee, United States",District 6,,36.18565,-86.71511,Private room in home,Private room,1,,1 private bath,1,1,$30.00 ,30,1125,30,30,1125,1125,30,1125,,t,10,40,70,250,9/15/2022,51,2,0,9/25/2012,2/25/2022,4.86,4.86,4.84,4.78,4.85,4.71,4.78,,f,2,0,2,0,0.42
648088,9/15/2022,city scrape,3250769,8/13/2012,"Nashville, TN",f,1,2,t,t,"Nashville, Tennessee, United States",District 19,,36.1447,-86.79014,Private room in cottage,Private room,3,,1 private bath,1,2,$142.00 ,2,14,2,2,1125,1125,2,1125,,t,13,22,52,322,9/15/2022,426,31,4,9/14/2012,9/11/2022,4.87,4.9,4.89,4.96,4.92,4.88,4.88,,f,1,0,1,0,3.5
674159,9/15/2022,city scrape,3422455,8/30/2012,"Nashville, TN",t,1,2,t,t,"Nashville, Tennessee, United States",District 6,,36.17242,-86.73742,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$148.00 ,3,10,3,3,10,10,3,10,,t,5,18,48,312,9/15/2022,303,25,2,1/2/2013,8/29/2022,4.92,4.92,4.95,4.94,4.95,4.88,4.9,,f,1,1,0,0,2.56
681880,9/15/2022,city scrape,3471162,9/4/2012,"Nashville, TN",t,1,1,t,t,,District 7,,36.21628,-86.70935,Entire guesthouse,Entire home/apt,2,,1 bath,1,1,$89.00 ,1,21,1,1,21,21,1,21,,t,0,0,0,41,9/15/2022,575,15,0,10/6/2012,5/1/2022,4.96,4.97,4.98,4.97,4.98,4.83,4.94,,f,1,1,0,0,4.75
747429,9/15/2022,city scrape,2066370,4/3/2012,"Nashville, TN",t,5,9,t,t,"Nashville, Tennessee, United States",District 21,,36.18276,-86.80296,Entire home,Entire home/apt,10,,2 baths,3,3,$350.00 ,2,1125,2,2,1125,1125,2,1125,,t,13,28,54,231,9/15/2022,63,1,0,11/13/2012,8/14/2022,4.69,4.81,4.84,4.9,4.93,4.03,4.64,,t,2,2,0,0,0.53
859206,9/16/2022,previous scrape,1924504,3/14/2012,"Nashville, TN",f,1,1,t,t,,District 18,,36.12826,-86.79991,Private room in home,Private room,2,,1 private bath,1,1,$120.00 ,2,14,2,2,14,14,2,14,,t,0,0,0,0,9/16/2022,122,2,0,2/4/2013,7/31/2022,4.81,4.86,4.88,4.97,4.97,4.91,4.88,,f,1,0,1,0,1.04
914787,9/15/2022,city scrape,4910520,1/30/2013,"Nashville, TN",t,25,35,t,t,"Nashville, Tennessee, United States",District 19,,36.1754,-86.78193,Entire rental unit,Entire home/apt,6,,1 bath,1,4,$242.00 ,1,90,1,4,90,90,1.6,90,,t,10,30,60,311,9/15/2022,328,55,5,3/12/2013,9/5/2022,4.72,4.75,4.78,4.9,4.93,4.68,4.66,,t,14,14,0,0,2.83
980344,9/15/2022,city scrape,441439,3/14/2011,"Nashville, TN",f,4,4,t,t,"Nashville, Tennessee, United States",District 24,,36.144,-86.82827,Private room in home,Private room,2,,1 private bath,1,1,$250.00 ,2,4,2,2,4,4,2,4,,t,10,28,47,47,9/15/2022,1,0,0,3/21/2018,3/21/2018,0,,,,,,,,t,4,3,1,0,0.02
1006989,9/15/2022,city scrape,1896384,3/10/2012,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 6,,36.17509,-86.73581,Entire guest suite,Entire home/apt,3,,1 bath,1,1,$91.00 ,2,5,2,2,1125,1125,2,1125,,t,1,16,32,82,9/15/2022,537,54,4,4/1/2013,9/9/2022,4.98,4.98,4.99,5,4.98,4.94,4.96,,f,1,1,0,0,4.66
