id,last_scraped,source,host_id,host_since,host_location,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6113766,9/16/2022,previous scrape,31720018,4/22/2015,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 6,,36.1791,-86.73852,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$123.00 ,2,90,2,2,1125,1125,2,1125,,t,0,0,0,0,9/16/2022,360,18,0,5/29/2015,2/27/2022,4.98,4.98,4.99,4.99,4.98,4.96,4.95,,t,1,1,0,0,4.05
6162409,9/15/2022,city scrape,27950672,2/18/2015,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 33,,36.12439,-86.54606,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$110.00 ,5,1125,3,5,1125,1125,5,1125,,t,9,17,47,308,9/15/2022,418,20,1,5/3/2015,8/21/2022,4.96,4.96,4.94,4.98,4.99,4.9,4.93,,f,1,1,0,0,4.66
6193527,9/15/2022,city scrape,31139913,4/13/2015,"Nashville, TN",f,1,6,t,t,"Nashville, Tennessee, United States",District 6,,36.17393,-86.7408,Entire home,Entire home/apt,6,,2 baths,3,4,$490.00 ,7,60,7,7,60,60,7,60,,t,0,0,0,104,9/15/2022,14,0,0,10/26/2015,6/26/2018,5,4.93,5,4.93,5,5,4.86,,f,1,1,0,0,0.17
6198601,9/16/2022,previous scrape,9012461,9/23/2013,"Nashville, TN",f,2,3,t,t,,District 6,,36.17075,-86.74203,Entire rental unit,Entire home/apt,2,,1 bath,,1,$139.00 ,1,1125,1,1,1125,1125,1,1125,,t,0,0,0,0,9/16/2022,1,0,0,5/16/2021,5/16/2021,5,5,5,5,5,5,5,,f,2,2,0,0,0.06
6207147,9/15/2022,city scrape,32119480,4/28/2015,"Nashville, TN",t,1,2,t,t,"Nashville, Tennessee, United States",District 6,,36.17348,-86.75443,Private room in home,Private room,2,,1.5 baths,1,1,$92.00 ,2,1125,2,2,1125,1125,2,1125,,t,5,6,9,22,9/15/2022,223,34,1,6/7/2015,8/28/2022,4.96,4.98,4.92,4.98,4.99,4.98,4.9,,f,1,0,1,0,2.52
6210434,9/15/2022,city scrape,12122804,2/10/2014,"Nashville, TN",t,2,3,t,t,"Nashville, Tennessee, United States",District 6,,36.18111,-86.73229,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$112.00 ,1,30,1,1,1125,1125,1,1125,,t,14,37,66,149,9/15/2022,559,94,7,6/12/2016,8/29/2022,4.82,4.93,4.91,4.96,4.91,4.88,4.79,,t,2,2,0,0,7.33
6213651,9/15/2022,city scrape,15586733,5/16/2014,"Nashville, TN",t,17,19,t,t,,District 18,,36.12473,-86.79341,Entire home,Entire home/apt,2,,1 bath,1,1,$202.00 ,2,13,2,3,13,13,2.7,13,,t,14,32,54,229,9/15/2022,308,50,2,12/5/2015,9/6/2022,4.95,4.98,4.95,4.96,4.97,4.98,4.86,,f,17,17,0,0,3.73
6223197,9/15/2022,city scrape,32272323,4/30/2015,,t,2,2,t,t,"Nashville, Tennessee, United States",District 5,,36.1814,-86.75342,Entire home,Entire home/apt,7,,1.5 baths,3,3,$198.00 ,3,1125,1,3,1125,1125,1.9,1125,,t,10,27,54,144,9/15/2022,219,39,3,6/28/2015,9/4/2022,4.77,4.89,4.72,4.96,4.93,4.83,4.81,,t,1,1,0,0,2.49
6225946,9/15/2022,city scrape,9012461,9/23/2013,"Nashville, TN",f,2,3,t,t,"Nashville, Tennessee, United States",District 6,,36.17026,-86.74325,Entire home,Entire home/apt,4,,1 bath,2,4,$161.00 ,1,31,1,2,1125,1125,1.1,1125,,t,16,31,61,327,9/15/2022,286,43,3,9/7/2015,8/28/2022,4.86,4.93,4.88,4.96,4.93,4.93,4.79,,f,2,2,0,0,3.34
6227141,9/15/2022,city scrape,32298087,4/30/2015,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 7,,36.20503,-86.69924,Entire guest suite,Entire home/apt,4,,1 bath,1,2,$116.00 ,2,7,1,2,1125,1125,2,1125,,t,5,24,49,139,9/15/2022,197,35,1,6/28/2015,9/8/2022,4.97,4.98,4.98,4.98,4.97,4.95,4.93,,t,1,1,0,0,2.24
6227228,9/15/2022,city scrape,6427723,5/16/2013,"Nashville, TN",t,1,1,t,f,,District 6,,36.16333,-86.75233,Entire rental unit,Entire home/apt,4,,1 bath,2,2,$260.00 ,30,186,30,30,1125,1125,30,1125,,t,2,3,33,37,9/15/2022,144,4,0,6/15/2015,8/8/2022,4.94,4.97,4.98,4.98,4.99,4.67,4.89,,f,1,1,0,0,1.63
6235842,9/15/2022,city scrape,96028937,9/20/2016,"Nashville, TN",t,2,2,t,t,"Nashville, Tennessee, United States",District 5,,36.17756,-86.7556,Entire rental unit,Entire home/apt,6,,1 bath,2,2,$191.00 ,2,1125,2,2,1125,1125,2,1125,,t,8,19,45,135,9/15/2022,412,80,7,5/5/2015,9/9/2022,4.96,4.96,4.94,4.97,4.98,4.87,4.92,,f,2,1,1,0,4.59
6237779,9/15/2022,city scrape,1539109,12/27/2011,"Nashville, TN",f,1,6,t,f,"Nashville, Tennessee, United States",District 5,,36.18516,-86.76996,Entire guest suite,Entire home/apt,2,,1 bath,1,2,$122.00 ,3,1125,2,3,1125,1125,3,1125,,t,9,39,69,69,9/15/2022,187,0,0,6/12/2015,8/29/2021,4.95,4.98,4.96,5,4.99,4.72,4.89,,f,1,1,0,0,2.11
6238833,9/15/2022,city scrape,16805934,6/15/2014,"Nashville, TN",t,5,7,t,t,"Nashville, Tennessee, United States",District 19,,36.17949,-86.7934,Entire home,Entire home/apt,10,,2.5 baths,3,6,$283.00 ,2,1125,2,3,1125,1125,2,1125,,t,15,33,61,318,9/15/2022,82,15,3,6/1/2015,9/12/2022,4.96,4.98,4.93,4.99,4.96,4.81,4.86,,t,3,3,0,0,0.92
6246236,9/15/2022,city scrape,7020921,6/20/2013,"Nashville, TN",f,1,1,t,t,"Nashville, Tennessee, United States",District 20,,36.15602,-86.87859,Entire guest suite,Entire home/apt,5,,1 bath,1,4,$125.00 ,3,8,3,3,8,8,3,8,,t,17,43,73,345,9/15/2022,221,19,0,6/14/2015,8/7/2022,4.7,4.81,4.72,4.92,4.89,4.74,4.81,,f,1,1,0,0,2.5
6247676,9/15/2022,city scrape,32440482,5/2/2015,"Nashville, TN",t,1,22,t,t,"Nashville, Tennessee, United States",District 17,,36.12442,-86.7537,Tiny home,Entire home/apt,4,,1 bath,1,2,$132.00 ,1,29,1,4,1125,1125,3.5,1125,,t,16,39,69,344,9/15/2022,850,108,9,2/15/2016,9/11/2022,4.94,4.97,4.87,4.98,4.96,4.76,4.88,,t,1,1,0,0,10.6
6249592,9/16/2022,previous scrape,31870579,4/24/2015,"Wysox, PA",t,171,197,t,t,"Nashville, Tennessee, United States",District 15,,36.21699,-86.70433,Entire condo,Entire home/apt,8,,2 baths,2,4,$228.00 ,2,9,2,2,9,9,2,9,,t,0,0,0,0,9/16/2022,68,0,0,5/27/2015,9/27/2020,4.74,4.85,4.76,4.85,4.84,4.84,4.79,,f,15,15,0,0,0.76
6291787,9/16/2022,previous scrape,32713332,5/5/2015,,f,1,1,t,t,,District 23,,36.11262,-86.85343,Entire home,Entire home/apt,7,,4.5 baths,4,5,$750.00 ,1,1125,1,1,1125,1125,1,1125,,f,0,0,0,0,9/16/2022,0,0,0,,,,,,,,,,,f,1,1,0,0,
6299318,9/15/2022,city scrape,9596278,10/23/2013,"Nashville, TN",f,4,4,t,t,"Nashville, Tennessee, United States",District 16,,36.10375,-86.73443,Entire home,Entire home/apt,4,,1 bath,2,2,$114.00 ,1,1125,1,2,1125,1125,1.3,1125,,t,5,30,59,334,9/15/2022,597,76,5,6/14/2015,9/8/2022,4.77,4.88,4.67,4.97,4.95,4.74,4.8,,f,4,4,0,0,6.76
6305488,9/16/2022,city scrape,30787515,4/7/2015,"Orlando, FL",t,446,861,t,t,,District 15,,36.21881,-86.70295,Entire condo,Entire home/apt,6,,2 baths,2,3,$178.00 ,2,7,2,2,7,7,2,7,,t,10,34,34,34,9/16/2022,7,0,0,8/29/2015,2/28/2021,4.86,5,5,4.71,4.86,4.86,5,,f,4,4,0,0,0.08
6313730,9/16/2022,previous scrape,32600924,5/4/2015,"Nashville, TN",f,1,4,t,t,"Nashville, Tennessee, United States",District 21,,36.14595,-86.82211,Private room in home,Private room,2,,1 private bath,1,1,$83.00 ,2,44,2,2,44,44,2,44,,t,0,0,0,0,9/16/2022,248,0,0,5/25/2015,9/8/2020,4.99,4.98,5,4.98,4.97,4.94,4.96,,t,1,0,1,0,2.78
6361524,9/15/2022,city scrape,3375180,8/26/2012,"Nashville, TN",t,1,2,t,t,"Nashville, Tennessee, United States",District 2,,36.22912,-86.76527,Entire rental unit,Entire home/apt,4,,1 bath,2,2,$136.00 ,30,365,30,30,1125,1125,30,1125,,t,0,0,9,189,9/15/2022,135,11,1,9/23/2015,8/20/2022,4.83,4.91,4.94,4.94,4.95,4.67,4.85,,t,1,1,0,0,1.59
6375479,9/16/2022,previous scrape,33225771,5/12/2015,"Nashville, TN",f,1,1,t,t,,District 18,,36.12923,-86.79605,Entire rental unit,Entire home/apt,4,,1 bath,2,2,$250.00 ,1,1125,1,1,1125,1125,1,1125,,f,0,0,0,0,9/16/2022,0,0,0,,,,,,,,,,,f,1,1,0,0,
6385019,9/15/2022,city scrape,33282210,5/13/2015,"Nashville, TN",t,1,2,t,f,"Nashville, Tennessee, United States",District 8,,36.24792,-86.72988,Entire rental unit,Entire home/apt,2,,1 bath,1,1,$129.00 ,3,1125,3,3,1125,1125,3,1125,,t,1,31,61,336,9/15/2022,139,15,1,6/26/2015,9/5/2022,4.92,4.95,4.9,4.99,4.95,4.88,4.88,,f,1,1,0,0,1.58
6385486,9/15/2022,city scrape,11361200,1/16/2014,"Nashville, TN",t,2,12,t,t,"Nashville, Tennessee, United States",District 18,,36.12696,-86.80653,Entire rental unit,Entire home/apt,3,,1 bath,1,1,$129.00 ,1,1125,1,1,1125,1125,1,1125,,t,15,38,68,338,9/15/2022,457,51,4,5/26/2015,8/29/2022,4.84,4.93,4.83,4.97,4.97,4.88,4.81,,f,2,2,0,0,5.13
6402811,9/16/2022,city scrape,319913,12/15/2010,"Nashville, TN",f,21,43,t,f,"Nashville, Tennessee, United States",District 19,,36.17068,-86.79177,Entire townhouse,Entire home/apt,10,,2.5 baths,3,6,$305.00 ,3,30,2,3,3,30,3,24.5,,t,14,30,46,307,9/16/2022,34,2,0,5/24/2015,2/15/2022,4.82,4.97,4.82,4.81,4.79,4.59,4.74,,t,21,21,0,0,0.38
6415797,9/16/2022,previous scrape,32163082,4/28/2015,"Nashville, TN",f,2,2,t,t,"Nashville, Tennessee, United States",District 6,,36.17253,-86.75735,Entire home,Entire home/apt,8,,3 baths,4,5,$500.00 ,2,1125,2,2,1125,1125,2,1125,,t,0,0,0,0,9/16/2022,11,0,0,10/5/2015,12/31/2019,5,5,5,5,5,4.9,5,,f,2,1,1,0,0.13
6424609,9/16/2022,previous scrape,33522428,5/16/2015,"Nashville, TN",f,1,1,t,t,"Nashville, Tennessee, United States",District 34,,36.09602,-86.82793,Entire condo,Entire home/apt,8,,2 baths,2,4,$700.00 ,1,1125,1,1,1125,1125,1,1125,,t,0,0,0,0,9/16/2022,0,0,0,,,,,,,,,,,f,1,1,0,0,
6424881,9/15/2022,city scrape,33524311,5/16/2015,"Nashville, TN",t,3,3,t,f,"Nashville, Tennessee, United States",District 7,,36.2231,-86.70952,Private room in home,Private room,2,,1 shared bath,1,1,$90.00 ,1,1125,1,1,1125,1125,1,1125,,t,3,23,48,123,9/15/2022,189,10,1,6/13/2015,8/21/2022,4.98,4.96,4.98,4.99,4.99,4.94,4.96,,t,3,0,3,0,2.14
6434670,9/16/2022,previous scrape,9307116,10/8/2013,"Nashville, TN",t,3,3,t,t,"Nashville, Tennessee, United States",District 18,,36.13792,-86.81227,Private room in bungalow,Private room,1,,1 shared bath,1,1,$100.00 ,2,7,2,2,7,7,2,7,,t,0,0,0,0,9/16/2022,89,8,0,11/1/2015,4/24/2022,4.93,4.98,4.96,4.99,4.95,4.94,4.86,,f,3,1,2,0,1.06
6437109,9/16/2022,previous scrape,33604402,5/17/2015,"Nashville, TN",f,1,1,t,t,,District 4,,36.04058,-86.77421,Entire condo,Entire home/apt,2,,1 bath,1,1,$63.00 ,1,3,1,1,3,3,1,3,,f,0,0,0,0,9/16/2022,4,0,0,6/1/2015,1/2/2016,3.75,3.5,4.25,4,4.75,4.5,4,,f,1,1,0,0,0.05
6446261,9/15/2022,city scrape,11376666,1/16/2014,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 5,,36.20326,-86.74024,Entire home,Entire home/apt,4,,1 bath,2,2,$137.00 ,3,1125,3,3,1125,1125,3,1125,,t,16,31,61,329,9/15/2022,328,22,2,7/18/2015,9/5/2022,4.89,4.94,4.92,4.99,4.98,4.76,4.83,,f,1,1,0,0,3.76
6446687,9/15/2022,city scrape,24241984,11/27/2014,"Nashville, TN",f,14,57,t,t,"Nashville, Tennessee, United States",District 19,,36.15752,-86.76461,Entire condo,Entire home/apt,6,,2 baths,2,3,$294.00 ,2,182,2,5,182,182,2,182,,t,0,2,28,294,9/15/2022,50,0,0,10/13/2015,3/2/2020,4.72,4.9,4.8,4.78,4.8,4.78,4.72,,t,13,13,0,0,0.59
6451379,9/16/2022,city scrape,319913,12/15/2010,"Nashville, TN",f,21,43,t,f,,District 19,,36.14761,-86.7876,Entire home,Entire home/apt,12,,3.5 baths,3,6,$465.00 ,2,30,2,3,5,30,2.4,29.8,,t,4,19,32,283,9/16/2022,22,2,0,2/16/2016,3/24/2022,4.76,4.95,4.76,4.86,4.67,4.71,4.67,,t,21,21,0,0,0.27
6453387,9/15/2022,city scrape,33700529,5/19/2015,"Nashville, TN",t,7,8,t,t,"Nashville, Tennessee, United States",District 27,,36.06974,-86.72326,Entire townhouse,Entire home/apt,8,,2.5 baths,2,4,$175.00 ,30,1125,30,30,1125,1125,30,1125,,t,14,33,44,319,9/15/2022,90,3,0,5/25/2015,2/19/2022,4.99,4.99,4.98,5,5,4.7,4.91,,t,5,5,0,0,1.01
6466330,9/16/2022,city scrape,319913,12/15/2010,"Nashville, TN",f,21,43,t,f,"Nashville, Tennessee, United States",District 19,,36.14745,-86.78621,Entire home,Entire home/apt,10,,3.5 baths,4,5,$356.00 ,2,30,2,3,2,30,2.5,26.9,,t,3,17,41,309,9/16/2022,43,4,0,6/28/2015,8/13/2022,4.71,4.9,4.95,4.55,4.44,4.68,4.7,,t,21,21,0,0,0.49
6493634,9/16/2022,previous scrape,32163082,4/28/2015,"Nashville, TN",f,2,2,t,t,,District 6,,36.17324,-86.75722,Private room in home,Private room,2,,1 shared bath,1,1,$225.00 ,1,1125,1,1,1125,1125,1,1125,,t,0,0,0,0,9/16/2022,12,0,0,9/6/2015,9/29/2019,5,5,5,5,5,5,4.92,,t,2,1,1,0,0.14
6506269,9/15/2022,city scrape,34012010,5/22/2015,"Nashville, TN",f,1,1,t,t,"Nashville, Tennessee, United States",District 8,,36.22435,-86.75897,Entire rental unit,Entire home/apt,4,,1 bath,1,2,$97.00 ,3,1125,3,3,1125,1125,3,1125,,t,10,25,55,104,9/15/2022,247,23,1,6/15/2015,8/31/2022,4.68,4.82,4.66,4.95,4.9,4.51,4.77,,t,1,1,0,0,2.8
6512317,9/15/2022,city scrape,20743408,8/31/2014,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 4,,36.01948,-86.72284,Entire guest suite,Entire home/apt,6,,1 bath,1,4,$96.00 ,1,45,1,2,1125,1125,1,1125,,t,19,47,77,322,9/15/2022,476,64,4,6/14/2015,9/11/2022,4.91,4.92,4.96,4.98,4.96,4.84,4.91,,t,1,1,0,0,5.39
6560581,9/15/2022,city scrape,22459665,10/12/2014,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 6,,36.18296,-86.74295,Entire guesthouse,Entire home/apt,4,,1 bath,1,1,$114.00 ,1,1125,1,1,1125,1125,1,1125,,t,0,5,32,104,9/15/2022,415,70,6,2/1/2016,9/13/2022,4.99,4.98,4.99,4.99,5,4.96,4.96,,f,1,1,0,0,5.15
6561061,9/15/2022,city scrape,34316903,5/26/2015,"Nashville, TN",t,10,12,t,t,"Nashville, Tennessee, United States",District 19,,36.17168,-86.79644,Entire home,Entire home/apt,10,,3.5 baths,3,8,$620.00 ,2,1125,2,3,1125,1125,2,1125,,t,24,50,80,257,9/15/2022,165,20,2,7/19/2015,9/11/2022,4.95,4.93,4.96,4.98,5,4.59,4.79,,f,10,10,0,0,1.89
6570571,9/15/2022,city scrape,34366380,5/27/2015,"Nashville, TN",t,1,2,t,t,"Nashville, Tennessee, United States",District 6,,36.17951,-86.74619,Entire bungalow,Entire home/apt,4,,1 bath,1,2,$196.00 ,2,1125,2,2,1125,1125,2,1125,,t,13,36,66,332,9/15/2022,247,50,2,7/11/2015,9/5/2022,4.83,4.9,4.7,4.92,4.93,4.94,4.77,,t,1,1,0,0,2.82
6571132,9/15/2022,city scrape,25560797,1/3/2015,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 19,,36.17689,-86.79898,Private room in home,Private room,2,,1 shared bath,1,1,$65.00 ,31,1125,1,31,1125,1125,30.9,1125,,t,1,1,1,87,9/15/2022,3,3,0,1/16/2022,8/3/2022,5,5,5,5,5,5,5,,f,1,0,1,0,0.37
6575499,9/15/2022,city scrape,1155456,9/14/2011,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 23,,36.1283,-86.87609,Entire home,Entire home/apt,5,,1 bath,2,3,$236.00 ,2,31,2,2,1125,1125,2,1125,,t,18,40,66,156,9/15/2022,243,29,1,7/15/2015,9/2/2022,4.97,4.99,4.98,4.99,4.99,4.94,4.93,,t,1,1,0,0,2.78
6584689,9/15/2022,city scrape,1554315,1/1/2012,"Sarasota, FL",t,3,7,t,t,"Nashville, Tennessee, United States",District 21,,36.15891,-86.82722,Entire home,Entire home/apt,14,,3.5 baths,4,7,$492.00 ,3,1125,3,3,1125,1125,3,1125,,t,17,39,64,308,9/15/2022,64,15,1,8/17/2015,9/5/2022,4.75,4.7,4.7,4.97,4.92,4.38,4.65,,t,2,2,0,0,0.74
6600619,9/15/2022,city scrape,32601852,5/4/2015,"Nashville, TN",t,1,1,t,f,,District 17,,36.1391,-86.7731,Entire home,Entire home/apt,10,,3 baths,3,6,$357.00 ,3,1125,1,3,1125,1125,1.9,1125,,t,17,33,56,317,9/15/2022,252,31,1,9/7/2015,8/28/2022,4.86,4.88,4.79,4.97,4.9,4.74,4.82,,t,1,1,0,0,2.95
6613408,9/16/2022,city scrape,31870579,4/24/2015,"Wysox, PA",t,171,197,t,t,"Nashville, Tennessee, United States",District 15,,36.22077,-86.704,Entire condo,Entire home/apt,8,,2 baths,2,4,$228.00 ,2,14,2,2,14,14,2,14,,t,12,21,24,24,9/16/2022,59,3,0,6/30/2015,4/3/2022,4.75,4.79,4.84,4.91,4.93,4.81,4.86,,f,15,15,0,0,0.67
6644226,9/15/2022,city scrape,8973736,9/21/2013,"Nashville, TN",t,6,6,t,t,"Nashville, Tennessee, United States",District 5,,36.19117,-86.77106,Entire guesthouse,Entire home/apt,4,,1 bath,2,3,$216.00 ,2,160,1,5,1125,1125,2.5,1125,,t,26,56,86,176,9/15/2022,371,49,3,7/16/2015,9/3/2022,4.91,4.9,4.89,4.93,4.9,4.64,4.84,,t,4,4,0,0,4.25
6645502,9/15/2022,city scrape,22933775,10/24/2014,"Nashville, TN",t,16,16,t,t,"Nashville, Tennessee, United States",District 19,,36.17316,-86.79754,Entire home,Entire home/apt,10,,3.5 baths,3,5,$532.00 ,2,1125,2,3,1125,1125,2.5,1125,,t,6,19,49,299,9/15/2022,257,48,3,8/3/2015,9/5/2022,4.97,4.98,4.94,4.99,5,4.45,4.94,,t,14,14,0,0,2.96
6646825,9/15/2022,city scrape,6090673,4/25/2013,"New York, NY",f,3,7,t,t,"Nashville, Tennessee, United States",District 19,,36.17042,-86.77907,Entire rental unit,Entire home/apt,5,,1 bath,1,2,$172.00 ,1,1125,1,2,1125,1125,1.3,1125,,t,10,20,36,124,9/15/2022,244,52,2,9/8/2015,8/28/2022,4.59,4.61,4.53,4.92,4.84,4.68,4.53,,t,1,1,0,0,2.85
6658123,9/15/2022,city scrape,23353230,11/4/2014,"Nashville, TN",f,1,3,t,t,"Nashville, Tennessee, United States",District 7,,36.19399,-86.7377,Entire home,Entire home/apt,7,,2.5 baths,3,3,$475.00 ,30,1125,30,30,1125,1125,30,1125,,t,0,14,44,319,9/15/2022,16,0,0,4/18/2016,12/22/2019,4.75,4.75,4.75,4.94,4.94,4.81,4.75,,f,1,1,0,0,0.2
6659274,9/16/2022,previous scrape,19072667,7/28/2014,"Nashville, TN",f,1,1,t,f,,District 19,,36.14959,-86.79406,Entire condo,Entire home/apt,2,,1 bath,1,1,$400.00 ,3,4,3,3,4,4,3,4,,f,0,0,0,0,9/16/2022,0,0,0,,,,,,,,,,,f,1,1,0,0,
6660503,9/15/2022,city scrape,1237757,10/2/2011,"Nashville, TN",f,2,8,t,t,"Nashville, Tennessee, United States",District 18,,36.12927,-86.79641,Entire home,Entire home/apt,11,,2.5 baths,3,4,$229.00 ,21,1125,21,21,1125,1125,21,1125,,t,0,8,38,313,9/15/2022,31,0,0,11/16/2015,11/25/2017,4.9,4.9,4.87,5,4.97,4.97,4.9,,t,1,1,0,0,0.37
6661949,9/15/2022,city scrape,34870571,6/2/2015,"Nashville, TN",t,2,2,t,t,,District 7,,36.24255,-86.71009,Entire home,Entire home/apt,2,,1 bath,1,1,$126.00 ,2,1125,2,2,1125,1125,2,1125,,t,5,18,48,307,9/15/2022,364,60,5,6/13/2015,9/7/2022,4.79,4.87,4.84,4.98,4.95,4.83,4.83,,t,2,2,0,0,4.12
6663109,9/15/2022,city scrape,34870571,6/2/2015,"Nashville, TN",t,2,2,t,t,"Nashville, Tennessee, United States",District 7,,36.24432,-86.70857,Entire home,Entire home/apt,8,,2.5 baths,2,2,$230.00 ,3,90,3,3,90,90,3,90,,t,21,35,62,126,9/15/2022,88,16,0,6/26/2016,8/4/2022,4.68,4.74,4.6,4.86,4.89,4.72,4.64,,t,2,2,0,0,1.16
6688975,9/15/2022,city scrape,30949285,4/10/2015,"Nashville, TN",f,1,2,t,t,,District 19,,36.15229,-86.7946,Entire rental unit,Entire home/apt,4,,1 bath,1,1,$118.00 ,1,1124,1,4,1125,1125,1.8,1125,,t,2,10,27,254,9/15/2022,611,76,4,7/18/2015,8/29/2022,4.55,4.68,4.49,4.88,4.88,4.88,4.6,,t,1,1,0,0,7
6694206,9/15/2022,city scrape,35042945,6/5/2015,"Nashville, TN",t,1,1,t,f,"Nashville, Tennessee, United States",District 5,,36.18933,-86.77126,Entire guest suite,Entire home/apt,4,,2 baths,2,2,$196.00 ,1,1125,1,1,1125,1125,1,1125,,t,13,29,53,141,9/15/2022,69,34,4,6/12/2015,9/12/2022,4.97,4.97,4.99,4.97,4.97,4.84,4.94,,t,1,1,0,0,0.78
6700201,9/15/2022,city scrape,33388902,5/14/2015,"Nashville, TN",t,2,3,t,t,"Nashville, Tennessee, United States",District 13,,36.10983,-86.70847,Entire guesthouse,Entire home/apt,4,,1 bath,,1,$80.00 ,30,1125,30,30,1125,1125,30,1125,,t,11,41,71,161,9/15/2022,54,3,0,6/20/2015,4/11/2022,4.8,4.87,4.75,4.92,4.89,4.74,4.74,,t,2,2,0,0,0.61
6703006,9/15/2022,city scrape,33357920,5/14/2015,"Nashville, TN",t,3,3,t,t,"Nashville, Tennessee, United States",District 7,,36.20394,-86.71466,Entire home,Entire home/apt,4,,1 bath,2,2,$258.00 ,1,1125,1,1,1125,1125,1,1125,,t,5,27,56,290,9/15/2022,186,33,1,7/5/2015,8/28/2022,4.8,4.85,4.77,4.98,4.98,4.87,4.74,,t,2,2,0,0,2.12
6703990,9/15/2022,city scrape,2275056,5/2/2012,"Nashville, TN",f,8,9,t,t,"Nashville, Tennessee, United States",District 17,,36.13202,-86.78218,Entire home,Entire home/apt,12,,4 baths,5,6,$649.00 ,1,1125,1,3,1125,1125,1.9,1125,,t,16,30,50,322,9/15/2022,142,21,2,10/21/2015,8/28/2022,4.81,4.89,4.8,4.95,4.85,4.84,4.69,,t,6,6,0,0,1.69
6704776,9/15/2022,city scrape,11044654,1/5/2014,"Nashville, TN",t,2,3,t,t,"Nashville, Tennessee, United States",District 29,,36.07697,-86.63759,Private room in bed and breakfast,Private room,1,,1 private bath,1,1,$43.00 ,30,1125,30,30,1125,1125,30,1125,,t,0,16,46,321,9/15/2022,132,3,0,7/12/2015,3/31/2022,4.82,4.92,4.84,4.94,4.95,4.71,4.78,,f,2,0,2,0,1.51
6709897,9/16/2022,previous scrape,35063747,6/5/2015,"Nashville, TN",f,1,1,t,f,"Nashville, Tennessee, United States",District 15,,36.18411,-86.672,Entire home,Entire home/apt,6,,2.5 baths,3,4,$109.00 ,3,7,3,3,1125,1125,3,1125,,t,0,0,0,0,9/16/2022,10,3,0,11/22/2019,10/16/2021,5,5,5,5,5,5,5,,t,1,1,0,0,0.29
6710477,9/15/2022,city scrape,1732661,2/10/2012,"Nashville, TN",t,4,5,t,t,"Nashville, Tennessee, United States",District 7,,36.19894,-86.74095,Entire home,Entire home/apt,4,,1 bath,2,3,$151.00 ,3,360,2,4,1125,1125,3.3,1125,,t,13,28,58,144,9/15/2022,173,32,0,7/6/2015,8/13/2022,4.9,4.92,4.95,4.96,4.96,4.68,4.85,,f,3,3,0,0,1.97
6712123,9/15/2022,city scrape,1732661,2/10/2012,"Nashville, TN",t,4,5,t,t,"Nashville, Tennessee, United States",District 5,,36.19859,-86.74224,Entire home,Entire home/apt,6,,1 bath,3,4,$189.00 ,5,180,5,5,1125,1125,5,1125,,t,6,35,65,151,9/15/2022,144,22,0,6/20/2015,8/15/2022,4.76,4.88,4.88,4.92,4.95,4.52,4.81,,t,3,3,0,0,1.63
6724955,9/15/2022,city scrape,31620313,4/20/2015,"Nashville, TN",t,2,4,t,t,"Nashville, Tennessee, United States",District 14,,36.18578,-86.64074,Entire rental unit,Entire home/apt,2,,1 bath,,1,$102.00 ,2,1125,2,2,1125,1125,2,1125,,t,6,18,31,306,9/15/2022,163,51,4,6/15/2015,9/12/2022,4.9,4.93,4.95,4.98,4.99,4.9,4.87,,t,2,2,0,0,1.85
6729170,9/16/2022,previous scrape,35238307,6/7/2015,"Nashville, TN",f,1,1,t,t,"Nashville, Tennessee, United States",District 6,,36.17401,-86.73417,Entire rental unit,Entire home/apt,4,,1 bath,1,2,$200.00 ,1,1125,1,1,1125,1125,1,1125,,f,0,0,0,0,9/16/2022,0,0,0,,,,,,,,,,,f,1,1,0,0,
