id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1583339,Heart of Historic East Nashville,1567001,Amy,,District 6,36.17833,-86.74426,Entire home/apt,425,2,67,2022-09-06,0.61,4,0,13,
1583557,Entire Upstairs-2 Bedroom Private/Owner downstairs,1567001,Amy,,District 6,36.17833,-86.74426,Entire home/apt,160,30,114,2022-09-11,1.04,4,0,7,
1584280,Cheapestead Cottage East Nashville,8440705,Carolyn,,District 6,36.17649,-86.74237,Entire home/apt,97,2,369,2022-08-28,3.36,1,275,27,
1587240,Charismatic room in East Nashville,1567001,Amy,,District 6,36.17868,-86.74394,Private room,70,30,135,2021-07-22,1.23,4,137,0,
1625117,Cozy/Cute/Very Safe TreeTop apt in East Nashville,8382752,Bobby,,District 7,36.23019,-86.71623,Entire home/apt,97,1,283,2022-08-29,2.76,1,350,24,
1640655,Southern Hospitality - With 2 Rooms! Private Bath!,6154341,Ann,,District 17,36.1254,-86.77825,Private room,90,4,149,2019-05-01,1.37,1,243,0,
1661560,"East Nash tucked away, retro, killer porch, view!",8804227,Kelli,,District 6,36.17622,-86.73512,Entire home/apt,212,1,123,2022-08-23,1.14,1,208,9,
1714215,"TRAVELERS PL  Blue Room 
Female, NS Only plz",812128,Patricia And John,,District 12,36.18743,-86.59163,Private room,35,31,14,2022-07-25,0.15,10,161,4,
1786497,3BR Artsy Retro in East Nashville: Long Stays!,7503893,Angie,,District 7,36.19506,-86.71568,Entire home/apt,99,30,106,2022-08-08,1.01,3,43,3,
1793477,East Nashville Underground Apt.,7509912,Sarah & Steve,,District 7,36.1978,-86.70568,Entire home/apt,150,1,490,2022-09-11,4.56,2,337,25,
1840652,A Downtown Great GetAway!,2066370,Lisa,,District 21,36.17642,-86.80902,Entire home/apt,375,2,155,2022-08-28,1.44,2,223,24,
1885504,"2 Master Suites, 30-day Rental 10 mins to downtown",9805687,Brent,,District 16,36.10963,-86.74195,Entire home/apt,139,2,170,2022-05-10,1.58,9,299,8,
1951714,Cheap Vandy / Downtown Nashville CrashPad,7720839,Michelle,,District 19,36.14721,-86.78759,Shared room,500,1,7,2017-09-11,0.07,4,89,0,
1954040,Vintage style Eastside bungalow,8196681,Anita,,District 7,36.20443,-86.72778,Private room,68,1,335,2022-09-04,3.16,1,321,55,
2071080,Cheap Downtown Crashpad (Solo Travelers Only),7720839,Michelle,,District 19,36.14717,-86.78754,Shared room,104,1,2,2018-05-05,0.03,4,0,0,
2083878,"3min to DWTN!/2 bds, 1.5bths/Private Suite",10643952,Khira,,District 19,36.17074,-86.79057,Entire home/apt,123,1,556,2022-08-25,5.24,1,50,59,
2138177,Rustic Designer Suite near City Center,6521193,Terry And Piper,,District 6,36.16137,-86.75327,Entire home/apt,140,30,407,2022-02-27,3.89,1,164,14,
2170733,Charming East Nashville Home,6036692,Ruthie,,District 6,36.18854,-86.74452,Entire home/apt,100,30,54,2020-03-16,0.53,1,69,0,
