id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,40,30,674,2020-03-03,4.22,1,163,0,
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12523,-86.81278,Private room,70,1,307,2022-06-12,4.39,1,84,43,
59576,Large Master Suite near Lake *ladies only NS plz,812128,Patricia And John,,District 12,36.18749,-86.59004,Private room,55,31,0,,,9,75,0,
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard,,District 18,36.13122,-86.80066,Entire home/apt,96,2,641,2022-06-12,4.78,1,0,39,
258817,ButterflyRoom-private bath-,22296,Diana,,District 12,36.16249,-86.58988,Private room,34,30,96,2019-12-14,0.75,7,316,0,
289242,"MorningstarHouse, monthly room- open sept",22296,Diana,,District 12,36.16102,-86.59207,Private room,34,30,76,2019-01-12,0.60,7,365,0,
319705,"SuperSweetSTUDIO, jacuzzi, monthly, open Sept 1…",22296,Diana,,District 12,36.16296,-86.59187,Private room,45,30,48,2020-07-03,0.38,7,338,0,
329997,A+ Cottage & private courtyard! 5 mins to Downtown,1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,99,2,1162,2022-06-06,9.25,6,89,104,
340081,"MorningstarHouse, monthly single room- open soon!",22296,Diana,,District 12,36.16128,-86.58986,Private room,34,30,77,2020-08-31,0.61,7,365,0,
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,94,1,289,2022-06-08,2.37,1,272,48,
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,102,2,933,2022-06-06,7.66,6,15,94,
3275310,Cozy Chic Cottage in Popular East Nashville,6233192,Michelle,,District 6,36.17942,-86.7308,Entire home/apt,224,3,64,2020-03-08,0.67,2,0,0,
5261347,12 South Loft - Private Guesthouse,26604311,John & Lori,,District 17,36.11869,-86.7833,Entire home/apt,178,3,159,2022-06-05,1.80,1,227,24,
