id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,40,30,674,2020-03-03,4.38,1,199,0,
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12523,-86.81278,Private room,60,1,267,2021-12-04,4.17,1,233,5,
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard Carson,,District 18,36.13122,-86.80066,Entire home/apt,81,2,607,2021-12-12,4.74,1,30,5,
258817,ButterflyRoom-private bath- open in oct,22296,Diana,,District 12,36.16249,-86.58988,Private room,36,30,96,2019-12-14,0.79,7,354,0,
289242,"MorningstarHouse, monthly room- open sept",22296,Diana,,District 12,36.16102,-86.59207,Private room,34,30,76,2019-01-12,0.63,7,354,0,
319705,"SuperSweetSTUDIO, jacuzzi, monthly, open Jan 1",22296,Diana,,District 12,36.16296,-86.59187,Private room,39,30,48,2020-07-03,0.40,7,365,0,
329997,A+ Cottage & private courtyard! 5 mins to Downtown,1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,92,2,1111,2021-12-09,9.29,5,108,111,
340081,"MorningstarHouse, monthly single room- open soon!",22296,Diana,,District 12,36.16128,-86.58986,Private room,34,30,77,2020-08-31,0.64,7,351,0,
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,84,1,270,2021-12-05,2.33,1,296,39,
421290,Private Entry Studio Suite/King/Wetbar/DT 5 min,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,76,2,893,2021-12-08,7.70,5,38,86,
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths Hot tub & Patio!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,227,2,443,2021-11-24,3.81,5,173,27,
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15478,-86.64912,Private room,90,2,27,2015-06-29,0.25,1,0,0,
632636,Admire the Skyline from the Rooftop Terrace at a Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,142,2,364,2021-12-08,3.19,5,43,72,
645985,Serenity Haven,1515903,Karen,,District 6,36.18565,-86.71511,Private room,28,30,49,2021-06-01,0.44,2,200,2,
648088,Heart of Music Row  Private Suite (600 sq FT),3250769,Robyn,,District 19,36.1447,-86.79014,Private room,129,2,404,2021-11-23,3.58,1,283,25,
681880,Luxurious Rustic Cozy Guesthouse,3471162,Tiffany,,District 7,36.21628,-86.70935,Entire home/apt,89,2,560,2020-07-05,5.00,1,39,0,
